pair,layer,idx,n_params,enrich10,cos_F_absG,cos_F_absG_null,cos_F_absG_z,cos_gS_gT,fisher_mass,gT_mass
EV_LU2UK,__POOLED__,-1,78337,6.2875342517596655,0.7322484254837036,0.004098196590784937,366.0526164459211,-0.05050104856491089,0.17026500403881073,0.06343429535627365
PV_LU2KN,kernel,0,5632,5.077449555092669,0.6578744649887085,0.04848063055425882,81.33718900898829,0.5399891138076782,0.05282079428434372,1.30558180809021
PV_LU2KN,recurrent_kernel,1,65536,5.852168046231309,0.6899062395095825,0.0312095327116549,182.1067597121981,0.5863431692123413,0.08698519319295883,4.443021774291992
PV_LU2KN,bias,2,512,4.906589214618389,0.7733811736106873,0.07156294442713261,20.532637828755465,0.5184351205825806,0.024778636172413826,0.28089815378189087
PV_LU2KN,gamma,3,128,1.3458158052884615,0.2760481536388397,0.25648049026727676,0.28667580354485106,0.618193507194519,5.624031473416835e-05,0.012871826067566872
PV_LU2KN,beta,4,128,1.885518294114333,0.7485634088516235,0.46070089519023893,6.350626165312032,0.6824371218681335,0.0001108095602830872,0.022719863802194595
PV_LU2KN,kernel,5,32768,3.801747680328807,0.4295894503593445,0.05154402211308479,75.85254251419005,0.5703690052032471,0.004429440945386887,0.7568982243537903
PV_LU2KN,recurrent_kernel,6,16384,3.8724897755872485,0.4430742561817169,0.04013752991333604,52.87979503976273,0.6623024344444275,0.00032830104464665055,0.16066493093967438
PV_LU2KN,bias,7,256,4.070416670579177,0.7461163997650146,0.08008274573832751,9.465086299469158,0.6730290055274963,5.3093193855602294e-05,0.01048530638217926
PV_LU2KN,kernel,8,640,2.5853991508483887,0.5396539568901062,0.21973671451210974,9.790146380652466,0.03853432834148407,0.0019891192205250263,0.12001814693212509
PV_LU2KN,bias,9,64,2.0202550888061523,0.655144989490509,0.3167616719007492,3.979907410457735,-0.17172200977802277,0.0009690717561170459,0.026245025917887688
PV_LU2KN,gamma,10,64,2.012339319501604,0.5390810370445251,0.30321686387062075,2.914750827695942,0.4941225051879883,1.4219389413483441e-05,0.004683868493884802
PV_LU2KN,beta,11,64,2.04763616834368,0.8298122882843018,0.5127667072415352,5.37017153634317,0.46939873695373535,2.1317528080544434e-05,0.006466601975262165
PV_LU2KN,gamma,12,64,2.095447540283203,0.6244198083877563,0.36012482732534407,3.462817214473888,-0.11858513951301575,1.584077108418569e-05,0.0030001706909388304
PV_LU2KN,beta,13,64,1.7893665858677454,0.8490040898323059,0.5990690869092942,4.652063364056618,0.02058451436460018,1.9398066797293723e-05,0.0056149717420339584
PV_LU2KN,kernel,14,16384,1.006341325574855,0.16751258075237274,0.16535236045718193,0.3660042182410917,0.313004732131958,0.0011528749018907547,0.4156436324119568
PV_LU2KN,bias,15,128,0.9078035354614258,0.3763154149055481,0.3589980936050415,0.2766802117814127,0.41059139370918274,1.0308698620065115e-05,0.005439057480543852
PV_LU2KN,gamma,16,128,0.7849627274733323,0.643339991569519,0.6150565242767334,0.7458206071042741,0.37722060084342957,7.299581193365157e-05,0.007382665760815144
PV_LU2KN,beta,17,128,1.404089854313777,0.8192567825317383,0.6712211084365844,5.388852351073199,-0.534659743309021,0.00010030720295617357,0.012942387722432613
PV_LU2KN,kernel,18,8192,2.983696765434451,0.399663507938385,0.1563448838889599,27.75062482523956,0.33651310205459595,0.027641084045171738,0.8004913926124573
PV_LU2KN,bias,19,64,3.731091090611049,0.8463590741157532,0.24478376969695093,5.817141332668446,0.25784552097320557,0.0002425731800030917,0.012203371152281761
PV_LU2KN,kernel,20,64,2.754673276628767,0.545229434967041,0.21742123555392026,3.5370843972979236,0.06612616777420044,3.1300809383392334,0.6778405904769897
PV_LU2KN,bias,21,1,,1.0,,,-1.0,0.04242987930774689,0.0321059413254261
PV_LU2KN,__POOLED__,-1,147393,6.365913017799767,0.4576866924762726,0.0017721597878698958,49.629731027882656,0.10347379744052887,3.3743224143981934,9.123220443725586
