run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,V1,30,10.0,0.0,5,0.125113,,,0.192309,,,10,64,0.0001,,2026-09-08T18:14:19.785485+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,5,0.128801,,,0.191134,,,10,64,0.0001,,2026-09-08T18:15:11.048887+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,5,0.124642,,,0.202441,,,10,64,0.0001,,2026-09-08T18:15:53.064144+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,5,0.127681,,,0.200477,,,10,64,0.0001,,2026-09-08T18:16:32.059729+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,5,0.133008,,,0.198761,,,10,64,0.0001,,2026-09-08T18:17:10.798637+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,5,0.138693,,,0.195299,,,10,64,0.0001,,2026-09-08T18:18:28.809624+00:00,V3_hybrid
,MAS,30,,,5,0.147061,,,0.197453,,,10,64,0.0001,,2026-09-08T18:19:11.861594+00:00,MAS
,LwF,30,,,5,0.186754,,,0.286784,,,10,64,0.0001,,2026-09-08T18:20:19.859200+00:00,LwF
,DERpp,30,,,5,0.173098,,,0.256037,,,10,64,0.0001,,2026-09-08T18:21:56.681615+00:00,DERpp
,AGEM,30,,,5,0.125095,,,0.219885,,,10,64,0.0001,,2026-09-08T18:23:06.400667+00:00,AGEM
,B3,30,0.0,0.0,6,0.115131,,,0.248298,,,10,64,0.0001,,2026-09-08T18:23:38.917011+00:00,B3_warm
,B5,30,0.0,1.0,6,0.138324,,,0.21475,,,10,64,0.0001,,2026-09-08T18:24:39.417752+00:00,B5_replay
,V1,30,1.0,0.0,6,0.117357,,,0.210242,,,10,64,0.0001,,2026-09-08T18:25:27.250554+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,6,0.126855,,,0.196752,,,10,64,0.0001,,2026-09-08T18:26:13.591801+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,6,0.134981,,,0.19303,,,10,64,0.0001,,2026-09-08T18:26:56.821952+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,6,0.118313,,,0.208942,,,10,64,0.0001,,2026-09-08T18:27:36.049288+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,6,0.12609,,,0.206579,,,10,64,0.0001,,2026-09-08T18:28:16.100609+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,6,0.131981,,,0.201731,,,10,64,0.0001,,2026-09-08T18:28:55.268058+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,6,0.139827,,,0.203056,,,10,64,0.0001,,2026-09-08T18:30:00.046185+00:00,V3_hybrid
