run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,V2,30,1.0,0.0,4,0.427162,,,0.636989,,,10,64,0.0001,,2026-09-10T11:31:12.188572+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,4,0.449861,,,0.657876,,,10,64,0.0001,,2026-09-10T11:32:12.356355+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,4,0.474537,,,0.707872,,,10,64,0.0001,,2026-09-10T11:33:16.898969+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,4,0.329607,,,0.555487,,,10,64,0.0001,,2026-09-10T11:34:59.975258+00:00,V3_hybrid
,MAS,30,,,4,0.505342,,,0.759541,,,10,64,0.0001,,2026-09-10T11:35:57.663681+00:00,MAS
,LwF,30,,,4,0.381295,,,0.735341,,,10,64,0.0001,,2026-09-10T11:37:46.443194+00:00,LwF
,DERpp,30,,,4,0.325008,,,0.584252,,,10,64,0.0001,,2026-09-10T11:40:07.431562+00:00,DERpp
,AGEM,30,,,4,0.326051,,,0.544016,,,10,64,0.0001,,2026-09-10T11:41:47.282156+00:00,AGEM
,B3,30,0.0,0.0,5,0.463009,,,0.641798,,,10,64,0.0001,,2026-09-10T11:42:41.790851+00:00,B3_warm
,B5,30,0.0,1.0,5,0.32691,,,0.508164,,,10,64,0.0001,,2026-09-10T11:44:07.980092+00:00,B5_replay
,V1,30,1.0,0.0,5,0.476668,,,0.634896,,,10,64,0.0001,,2026-09-10T11:45:12.344960+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,5,0.46616,,,0.679738,,,10,64,0.0001,,2026-09-10T11:46:29.298516+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,5,0.473057,,,0.719891,,,10,64,0.0001,,2026-09-10T11:47:37.762586+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,5,0.468458,,,0.625328,,,10,64,0.0001,,2026-09-10T11:48:38.097666+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,5,0.466983,,,0.652347,,,10,64,0.0001,,2026-09-10T11:49:38.037280+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,5,0.474141,,,0.696194,,,10,64,0.0001,,2026-09-10T11:50:41.761373+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,5,0.32884,,,0.56045,,,10,64,0.0001,,2026-09-10T11:52:22.424028+00:00,V3_hybrid
,MAS,30,,,5,0.488216,,,0.764155,,,10,64,0.0001,,2026-09-10T11:53:26.006551+00:00,MAS
,LwF,30,,,5,0.380973,,,0.667503,,,10,64,0.0001,,2026-09-10T12:02:25.427319+00:00,LwF
