timestamp,pv_kw,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,wind_speed_10m,tod_sin,tod_cos,doy_sin,doy_cos
2025-05-12 21:15:00,0.0,0.0,0.0,0.0,3.75,14.425,2.0,-0.6593458151000687,0.7518398074789775,0.7648913904341225,-0.6441592666722685
2025-05-12 21:30:00,0.0,0.0,0.0,0.0,2.5,14.25,1.4000000000000001,-0.608761429008721,0.7933533402912349,0.7648913904341225,-0.6441592666722685
2025-05-12 21:45:00,0.0,0.0,0.0,0.0,1.2499999999999996,14.075,0.8000000000000003,-0.5555702330196022,0.8314696123025452,0.7648913904341225,-0.6441592666722685
2025-05-12 22:00:00,0.0,0.0,0.0,0.0,0.0,13.9,0.2,-0.5000000000000004,0.8660254037844384,0.7648913904341225,-0.6441592666722685
2025-05-12 22:15:00,0.0,0.0,0.0,0.0,0.0,13.475,1.1749999999999998,-0.4422886902190014,0.8968727415326883,0.7648913904341225,-0.6441592666722685
2025-05-12 22:30:00,0.0,0.0,0.0,0.0,0.0,13.05,2.1499999999999995,-0.38268343236508956,0.9238795325112868,0.7648913904341225,-0.6441592666722685
2025-05-12 22:45:00,0.0,0.0,0.0,0.0,0.0,12.625,3.1249999999999996,-0.32143946530316186,0.9469301294951056,0.7648913904341225,-0.6441592666722685
2025-05-12 23:00:00,0.0,0.0,0.0,0.0,0.0,12.2,4.1,-0.2588190451025207,0.9659258262890683,0.7648913904341225,-0.6441592666722685
2025-05-12 23:15:00,0.0,0.0,0.0,0.0,0.0,12.0,4.949999999999999,-0.19509032201612872,0.9807852804032303,0.7648913904341225,-0.6441592666722685
2025-05-12 23:30:00,0.0,0.0,0.0,0.0,0.0,11.8,5.8,-0.13052619222005168,0.9914448613738104,0.7648913904341225,-0.6441592666722685
2025-05-12 23:45:00,0.0,0.0,0.0,0.0,0.0,11.6,6.65,-0.06540312923014367,0.9978589232386035,0.7648913904341225,-0.6441592666722685
2025-05-13 00:00:00,0.0,0.0,0.0,0.0,0.0,11.4,7.5,0.0,1.0,0.753697664392914,-0.6572212950663319
2025-05-13 00:15:00,0.0,0.0,0.0,0.0,0.0,10.825,6.675,0.06540312923014306,0.9978589232386035,0.753697664392914,-0.6572212950663319
2025-05-13 00:30:00,0.0,0.0,0.0,0.0,0.0,10.25,5.85,0.13052619222005157,0.9914448613738104,0.753697664392914,-0.6572212950663319
2025-05-13 00:45:00,0.0,0.0,0.0,0.0,0.0,9.675,5.025,0.19509032201612825,0.9807852804032304,0.753697664392914,-0.6572212950663319
2025-05-13 01:00:00,0.0,0.0,0.0,0.0,0.0,9.1,4.2,0.25881904510252074,0.9659258262890683,0.753697664392914,-0.6572212950663319
2025-05-13 01:15:00,0.0,0.0,0.0,0.0,0.0,8.9,3.6500000000000004,0.3214394653031616,0.9469301294951057,0.753697664392914,-0.6572212950663319
2025-05-13 01:30:00,0.0,0.0,0.0,0.0,0.0,8.7,3.1,0.3826834323650898,0.9238795325112867,0.753697664392914,-0.6572212950663319
2025-05-13 01:45:00,0.0,0.0,0.0,0.0,0.0,8.5,2.55,0.4422886902190013,0.8968727415326883,0.753697664392914,-0.6572212950663319
2025-05-13 02:00:00,0.0,0.0,0.0,0.0,0.0,8.3,2.0,0.49999999999999994,0.8660254037844387,0.753697664392914,-0.6572212950663319
2025-05-13 02:15:00,0.0,0.0,0.0,0.0,0.0,8.200000000000001,3.2,0.5555702330196022,0.8314696123025452,0.753697664392914,-0.6572212950663319
2025-05-13 02:30:00,0.0,0.0,0.0,0.0,0.0,8.100000000000001,4.4,0.6087614290087207,0.7933533402912352,0.753697664392914,-0.6572212950663319
2025-05-13 02:45:00,0.0,0.0,0.0,0.0,0.0,8.0,5.6,0.6593458151000688,0.7518398074789774,0.753697664392914,-0.6572212950663319
2025-05-13 03:00:00,0.0,0.0,0.0,0.0,0.0,7.9,6.8,0.7071067811865476,0.7071067811865476,0.753697664392914,-0.6572212950663319
2025-05-13 03:15:00,0.0,0.0,0.0,0.0,0.0,7.825,6.575,0.7518398074789773,0.659345815100069,0.753697664392914,-0.6572212950663319
2025-05-13 03:30:00,0.0,0.0,0.0,0.0,0.0,7.75,6.35,0.7933533402912352,0.6087614290087207,0.753697664392914,-0.6572212950663319
2025-05-13 03:45:00,1.2,0.0,0.0,0.0,0.0,7.675,6.125,0.8314696123025452,0.5555702330196023,0.753697664392914,-0.6572212950663319
2025-05-13 04:00:00,4.8,0.0,0.0,0.0,0.0,7.6,5.9,0.8660254037844386,0.5000000000000001,0.753697664392914,-0.6572212950663319
2025-05-13 04:15:00,10.8,11.5,5.5,6.0,0.0,7.925,6.550000000000001,0.8968727415326884,0.44228869021900125,0.753697664392914,-0.6572212950663319
2025-05-13 04:30:00,21.6,23.0,11.0,12.0,0.0,8.25,7.2,0.9238795325112867,0.38268343236508984,0.753697664392914,-0.6572212950663319
2025-05-13 04:45:00,31.5,34.5,16.5,18.0,0.0,8.575,7.85,0.9469301294951057,0.3214394653031615,0.753697664392914,-0.6572212950663319
2025-05-13 05:00:00,43.2,46.0,22.0,24.0,0.0,8.9,8.5,0.9659258262890683,0.25881904510252074,0.753697664392914,-0.6572212950663319
2025-05-13 05:15:00,54.6,80.0,47.0,33.0,0.0,9.5,8.5,0.9807852804032304,0.19509032201612833,0.753697664392914,-0.6572212950663319
2025-05-13 05:30:00,66.3,114.0,72.0,42.0,0.0,10.100000000000001,8.5,0.9914448613738104,0.1305261922200517,0.753697664392914,-0.6572212950663319
2025-05-13 05:45:00,83.7,148.0,97.0,51.0,0.0,10.700000000000001,8.5,0.9978589232386035,0.06540312923014305,0.753697664392914,-0.6572212950663319
2025-05-13 06:00:00,114.3,182.0,122.0,60.0,0.0,11.3,8.5,1.0,6.123233995736766e-17,0.753697664392914,-0.6572212950663319
2025-05-13 06:15:00,157.8,223.5,158.25,65.25,0.0,11.925,8.1,0.9978589232386035,-0.06540312923014292,0.753697664392914,-0.6572212950663319
2025-05-13 06:30:00,192.9,265.0,194.5,70.5,0.0,12.55,7.7,0.9914448613738105,-0.13052619222005138,0.753697664392914,-0.6572212950663319
2025-05-13 06:45:00,234.6,306.5,230.75,75.75,0.0,13.175,7.300000000000001,0.9807852804032305,-0.19509032201612797,0.753697664392914,-0.6572212950663319
2025-05-13 07:00:00,268.8,348.0,267.0,81.0,0.0,13.8,6.9,0.9659258262890683,-0.25881904510252085,0.753697664392914,-0.6572212950663319
2025-05-13 07:15:00,303.6,389.25,305.0,84.25,0.0,14.425,6.7250000000000005,0.9469301294951057,-0.3214394653031616,0.753697664392914,-0.6572212950663319
2025-05-13 07:30:00,337.5,430.5,343.0,87.5,0.0,15.05,6.550000000000001,0.9238795325112867,-0.3826834323650897,0.753697664392914,-0.6572212950663319
2025-05-13 07:45:00,370.8,471.75,381.0,90.75,0.0,15.675,6.375,0.8968727415326884,-0.44228869021900113,0.753697664392914,-0.6572212950663319
2025-05-13 08:00:00,405.0,513.0,419.0,94.0,0.0,16.3,6.2,0.8660254037844387,-0.4999999999999998,0.753697664392914,-0.6572212950663319
2025-05-13 08:15:00,434.4,549.5,453.25,96.25,0.0,16.875,6.05,0.8314696123025451,-0.5555702330196023,0.753697664392914,-0.6572212950663319
2025-05-13 08:30:00,460.8,586.0,487.5,98.5,0.0,17.450000000000003,5.9,0.7933533402912352,-0.6087614290087207,0.753697664392914,-0.6572212950663319
2025-05-13 08:45:00,484.8,622.5,521.75,100.75,0.0,18.025000000000002,5.75,0.7518398074789774,-0.6593458151000688,0.753697664392914,-0.6572212950663319
2025-05-13 09:00:00,506.1,659.0,556.0,103.0,0.0,18.6,5.6,0.7071067811865476,-0.7071067811865475,0.753697664392914,-0.6572212950663319
2025-05-13 09:15:00,528.3,687.75,583.0,104.75,0.0,19.075000000000003,6.324999999999999,0.6593458151000686,-0.7518398074789776,0.753697664392914,-0.6572212950663319
2025-05-13 09:30:00,543.0,716.5,610.0,106.5,0.0,19.55,7.05,0.6087614290087204,-0.7933533402912353,0.753697664392914,-0.6572212950663319
2025-05-13 09:45:00,555.0,745.25,637.0,108.25,0.0,20.025,7.775,0.5555702330196022,-0.8314696123025453,0.753697664392914,-0.6572212950663319
2025-05-13 10:00:00,567.0,774.0,664.0,110.0,0.0,20.5,8.5,0.49999999999999994,-0.8660254037844387,0.753697664392914,-0.6572212950663319
2025-05-13 10:15:00,579.3,792.25,681.25,111.0,0.5,20.775,9.275,0.4422886902190013,-0.8968727415326883,0.753697664392914,-0.6572212950663319
2025-05-13 10:30:00,585.6,810.5,698.5,112.0,1.0,21.05,10.05,0.3826834323650899,-0.9238795325112867,0.753697664392914,-0.6572212950663319
2025-05-13 10:45:00,592.8,828.75,715.75,113.0,1.5,21.325000000000003,10.825,0.32143946530316175,-0.9469301294951056,0.753697664392914,-0.6572212950663319
2025-05-13 11:00:00,593.1,847.0,733.0,114.0,2.0,21.6,11.6,0.258819045102521,-0.9659258262890682,0.753697664392914,-0.6572212950663319
2025-05-13 11:15:00,596.7,851.25,734.5,116.75,1.5,21.700000000000003,11.8,0.19509032201612816,-0.9807852804032304,0.753697664392914,-0.6572212950663319
2025-05-13 11:30:00,598.8,855.5,736.0,119.5,1.0,21.8,12.0,0.13052619222005157,-0.9914448613738104,0.753697664392914,-0.6572212950663319
2025-05-13 11:45:00,595.2,859.75,737.5,122.25,0.5,21.9,12.2,0.06540312923014312,-0.9978589232386035,0.753697664392914,-0.6572212950663319
2025-05-13 12:00:00,601.5,864.0,739.0,125.0,0.0,22.0,12.4,1.2246467991473532e-16,-1.0,0.753697664392914,-0.6572212950663319
2025-05-13 12:15:00,614.7,851.5,722.0,129.5,0.0,22.125,12.775,-0.06540312923014287,-0.9978589232386035,0.753697664392914,-0.6572212950663319
2025-05-13 12:30:00,591.3,839.0,705.0,134.0,0.0,22.25,13.15,-0.13052619222005132,-0.9914448613738105,0.753697664392914,-0.6572212950663319
2025-05-13 12:45:00,597.9,826.5,688.0,138.5,0.0,22.375,13.525,-0.19509032201612792,-0.9807852804032305,0.753697664392914,-0.6572212950663319
2025-05-13 13:00:00,378.6,814.0,671.0,143.0,0.0,22.5,13.9,-0.25881904510252035,-0.9659258262890684,0.753697664392914,-0.6572212950663319
2025-05-13 13:15:00,618.3,790.5,642.0,148.5,0.25,22.525,13.875,-0.3214394653031611,-0.9469301294951058,0.753697664392914,-0.6572212950663319
2025-05-13 13:30:00,305.7,767.0,613.0,154.0,0.5,22.55,13.850000000000001,-0.3826834323650892,-0.923879532511287,0.753697664392914,-0.6572212950663319
2025-05-13 13:45:00,423.3,743.5,584.0,159.5,0.75,22.575000000000003,13.825000000000001,-0.44228869021900147,-0.8968727415326883,0.753697664392914,-0.6572212950663319
